,监测点编码,监测点名称,城市,经度,纬度
467,2403A,环保局　,南阳,112.5192,32.9917
468,3477A,中站许衡医院,焦作,113.1656,35.2539
469,1223A,滨江,杭州,120.211,30.21
470,2297A,黄山区政府5号楼,黄山,118.1371,30.2756
471,2549A,市环境监测站,达州,107.525,31.215
472,1801A,马钢动力厂,马鞍山,118.48,31.6928
473,2875A,阜阳职业技术学院,阜阳,115.7838889,32.88922222
474,1695A,新城中学,汕尾,115.3622,22.7925
475,3349A,人民东路,重庆,107.7983,30.6758
476,2169A,市环保局,朔州,112.4078,39.3265
477,1421A,茶园,重庆,106.634,29.4892
478,3410A,重华小学,绍兴,120.8752,30.0249
479,2495A,市环保,梧州,111.2897,23.4792
480,1819A,红庙街,安阳,114.32,36.086
481,1893A,九狮山,泸州,105.4306,28.9583
482,2619A,泸水一中,怒江州,98.8546,25.8417
483,1187A,第四医院,扬州,119.439,32.4033
484,1439A,马鞍山,贵阳,106.6856,26.6029
485,1765A,新立屯,本溪,123.7989,41.2692
486,1059A,五金库,张家口,114.8814,40.8115
487,3048A,九龙,福州,119.58,26.0931
488,2300A,监测站,滁州,118.3158,32.3061
489,1637A,市中区政府,枣庄,117.5564,34.864
490,3374A,定陶老年大学,菏泽,115.5564,35.0891
491,3626A,南城元岭,东莞,113.7533,23.0202
492,1120A,客车厂,长春,125.287,43.91
493,2194A,秋林养殖基地,巴彦淖尔,107.5936,40.916
494,3246A,舟曲中学,兰州新区,103.6975,36.4789
495,3572A,栾城区政府,石家庄,114.6419615,37.9001925
496,2066A,审计局,信阳,114.0614,32.1383
497,2318A,开发区子站,宣城,118.7175,30.9431
498,2392A,环保局,濮阳,115.031,35.763
499,2644A,汉滨区检察院,安康,109.0072,32.6975
500,1790A,龙凤区,大庆,125.112,46.528
501,2264A,党校,黑河,127.5044,50.2391
502,2516A,东仁乐园,河池,108.2134,24.7121
503,1084A,晋源,太原,112.469,37.7124
504,2842A,湖里中学,厦门,118.0936,24.5058
505,1336A,高开区环保局,长沙,112.8872,28.2189
506,1662A,华夏技校,威海,122.1206,37.4294
507,1914A,舟水桥,遵义,106.9231,27.6506
508,1208A,高港区政府,泰州,119.882,32.303
509,1282A,师大,福州,119.303,26.0392
510,3271A,青浦徐泾,上海,121.2886,31.1663
511,1860A,未央路,张家界,110.5594,29.3547
512,1406A,区农职院,南宁,108.239,22.8464
513,2541A,旭光小区,眉山,103.8495,30.0691
514,1878A,富乐山,绵阳,104.7778,31.4747
515,3015A,龙井湾,重庆,106.4042,29.57278
516,3341A,中移产业园,洛阳,112.4951,34.6332
517,2161A,白云商贸,晋城,112.835,35.4934
518,3487A,车城东七路,成都,104.2394,30.5319
519,1811A,中信二小,洛阳,112.3628,34.6692
520,3359A,华阳,成都,104.0578,30.5225
521,2611A,市便民服务中心,文山州,104.2319,23.3892
522,1105A,小河沿,沈阳,123.478,41.7775
523,3685A,双创科技楼,上饶,117.897,28.4315
524,1431A,金泉两河,成都,103.97275,30.72358333
525,3557A,镇二中,杭州,119.9464,30.0494
526,1051A,游泳馆,保定,115.493,38.8632
527,1303A,省种子仓库,济南,117.0684,36.6868
528,2377A,市站,抚州,116.3553,27.9883
529,2629A,那曲嘉兴医院,那曲地区,92.0505,31.4733
530,1197A,城建学校,常州,119.933,31.7786
531,1775A,江北,吉林,126.5786,43.8947
532,2249A,南小市,双鸭山,131.1651,46.619
533,1069A,环境监测监理中心,廊坊,116.715,39.5571
534,2310A,开发区,六安,116.5661,31.7712
